name,vendor,link,price,description,characteristics,reviews
Contrôleur Leap Motion 2 Ultraleap,Ultraleap,https://eu.robotshop.com//fr/products/controleur-leap-motion-2-ultraleap#,"Prix en promotion€250,07","La deuxième génération de la caméra de suivi des mains emblématique d'Ultraleap vous permet d'utiliser vos propres mains dans les mondes numériques. Le Contrôleur Leap Motion 2 Ultraleap est le matériel idéal pour découvrir le suivi des mains de classe mondiale d'Ultraleap, apportant des interactions 3D à vos applications PC préférées et vous permettant d'abandonner les contrôleurs en réalité virtuelle. C'est la caméra la plus flexible jamais développée par Ultraleap. Compatible avec Windows, macOS, Android XR2 et le matériel complémentaire, y compris les casques XR, les PC et les écrans holographiques. Alimentée par le logiciel de suivi des mains d'Ultraleap, cette caméra peut détecter et identifier avec précision 27 éléments distincts de la main, y compris les os et les articulations, et les suivre de manière transparente même lorsqu'ils sont cachés par d'autres parties de votre main.  Que vous exploriez des mondes immersifs, conceviez des modèles 3D ou expérimentiez des applications de pointe, le Leap Motion Controller 2 ouvre un nouveau champ de possibilités d'interactions intuitives et immersives. Faites l'expérience d'un tout nouveau niveau d'interactivité et de contrôle alors que votre monde virtuel prend vie. Voici la différence de taille par rapport au Leap Motion Controller original :  Support de casque XR disponible séparément : Ajoutez facilement le meilleur suivi des mains au monde à votre casque avec le support de casque XR pour le Leap Motion Controller 2. La conception flexible unique du support offre un ajustement sûr au visage des casques XR les plus populaires.  Exemples d'applications :","Alimentation électrique requise : 5VDC via USB, 500 mA Connexion de données : USB 3.0 via un connecteur USB de type C Plage de suivi et champ de vision : Profondeur comprise entre 10 cm (4"") et 110 cm (43"") ; champ de vision de 160° x 160°. Fréquence d'images de la caméra : 115 fps maximum Longueur d'onde : 850 nm Construction : Aluminium et verre résistant aux rayures Température de fonctionnement : 0°C à 40°C (32°F à 104°F) Température de stockage : -30°C à 60°C (-22°F à 140°) Conformité : CE, FCC, UKCA, CCC, KC, PSE, RCM A-NZ, RoHS, REACH Systèmes d'exploitation compatibles : Windows, Android pour XR2, macOS (bientôt)",Average rating is 0.00 stars
Contrôleur Leap Motion,Ultraleap,https://eu.robotshop.com//fr/products/controleur-leap-motion#,"Prix en promotion€144,93","Le Contrôleur Leap Motion est un module de suivi optique des mains qui capture le mouvement des mains et des doigts des utilisateurs afin qu'ils puissent interagir naturellement avec le contenu numérique. Petit, rapide et précis, il peut être utilisé pour des applications de productivité avec des ordinateurs Windows, intégré dans des solutions matérielles ou des écrans de niveau entreprise, ou attaché à des casques de réalité virtuelle / augmentée pour le prototypage, la recherche et le développement AR / VR / XR. Le contrôleur est capable de suivre les mains dans une zone interactive 3D qui s'étend jusqu'à 60 cm (24 ”) ou plus, s'étendant de l'appareil dans un champ de vision de 120 x 150 °. Le logiciel de Leap Motion est capable de discerner 27 éléments de main distincts, y compris les os et les articulations, et de les suivre même lorsqu'ils sont masqués par d'autres parties de la main. Alors, tendez la main et voyez ce que vous avez manqué avec votre casque de réalité virtuelle préféré. Le contrôleur Leap Motion propose désormais un suivi V4 massivement mis à jour et trois nouvelles démos - Particles, Paint et Cat Explorer!  Obtenez le contrôleur Leap Motion pour jouer, explorer et créer avec des applications de bureau héritées sur la galerie Leap Motion, ou commencez à créer votre propre projet VR sur Oculus Rift ou HTC Vive.  Leap Motion pour la réalité virtuelle Accédez à de nouveaux mondes virtuels et familiarisez-vous avec la réalité virtuelle. Avec un contrôleur Leap Motion monté à l'avant de votre casque VR et le suivi des mains Leap Motion, vous pouvez toucher et interagir avec des objets en réalité virtuelle comme vous le feriez dans le monde réel - simplement en utilisant vos mains.  Leap Motion sur votre bureau Si vous n'êtes pas prêt à plonger dans la réalité virtuelle, utilisez le contrôleur Leap Motion sur votre bureau, à côté de votre souris et de votre clavier, pour un niveau supplémentaire d'interactivité 3D. Avec les applications de la galerie Leap Motion, vous pouvez créer de la musique, en savoir plus sur les tremblements de terre, jouer à des jeux, etc.  Le Contrôleur Leap Motion est certifié conforme aux normes réglementaires de sécurité et électriques. Sa robustesse et sa certification externe permettent des projets commerciaux, y compris des environnements stériles. Téléchargez des applications gratuites sur la galerie d'applications Leap Motion: applications VR pour casques tels que l'Oculus Rift et HTC, ainsi que 75+ applications de bureau héritées (ne sont plus mises à jour) L'interface LeapUVC expérimentale ouvre l'accès à des contrôles de bas niveau tels que la luminosité des LED, le gamma, l'exposition, le gain, la résolution, etc. Utilisez le contrôleur Leap Motion pour suivre des objets physiques, capturer des images infrarouges à haute vitesse ou voir le monde de nouvelles façons.","FOV: 150x120 degrés Portée: variable (sans lien de dépendance, jusqu'à environ 80 cm) Poids: 32 grammes Caméras: 2x 640x240 infrarouges Fréquence d'images: 120 ips Poids: 32 g / 1,15 oz Windows® 7+, Mac OS X 10.7 Lion (support hérité) Processeur AMD Phenom ™ II ou Intel® Core ™ i3 / i5 / i7 2 Go de RAM Port USB 2.0 connexion Internet SDK Orion compatible avec Windows 7 ou plus récent. Construisez avec Mac, Linux ou le suivi d'outils à l'aide du SDK V2 Desktop Windows 7 SP1 64 bits ou plus récent Intel Core i5-4590 équivalent ou supérieur 8 Go + RAM 3 ports USB 3.0 NVIDIA GTX 970 / AMD R9 290 équivalent ou supérieur avec sortie vidéo HDMI 1.3 compatible Température de fonctionnement: 32 à 113 ºF (0 à 45 ºC) Température de stockage: 14 à 122 ºF (-10 à 50 ºC) Humidité relative: 5% à 85% (sans condensation) Altitude de fonctionnement: 0 à 10 000 pieds (0 à 3048 mètres)",Average rating is 4.74 stars
Support pour casque XR pour contrôleur Leap Motion 2 Ultraleap,Ultraleap,https://eu.robotshop.com//fr/products/support-pour-casque-xr-pour-controleur-leap-motion-2-ultraleap#,"Prix en promotion€23,05","Ajoutez facilement le meilleur suivi des mains au monde à votre casque avec le support de casque XR pour le Leap Motion Controller 2 . La conception flexible unique du support offre un ajustement sûr au visage des casques XR les plus populaires de Pico, HTC, Varjo et plus encore.  Leap Motion Controller 2 disponible séparément : La deuxième génération de la caméra de suivi des mains emblématique d'Ultraleap vous permet d'utiliser vos propres mains dans les mondes numériques. Le Leap Motion Controller 2 est le matériel idéal pour découvrir le suivi des mains de classe mondiale d'Ultraleap, apportant des interactions 3D à vos applications PC préférées et vous permettant d'abandonner les contrôleurs dans la réalité virtuelle. C'est la caméra la plus flexible jamais développée par Ultraleap. Compatible avec Windows, Android XR2 et macOS, et matériel complémentaire, y compris les casques XR, les PC et les écrans holographiques.","Angle d'inclinaison vers le bas : 15° Matière : PA2200 Polyamide 12 (Nylon 12) Adhésif de montage : ruban nano réutilisable Spécifications du câble USB : USB C à angle droit – USB 3.0, longueur 22 cm",Average rating is 0.00 stars
Contrôleur de Moteur Intelligent 2 Canaux 30A SmartDriveDuo,Cytron,https://eu.robotshop.com//fr/products/controleur-moteur-intelligent-2-canaux-30a-smartdriveduo#,"Prix en promotion€87,94","Le Contrôleur de Moteur Intelligent 2 Canaux 30A SmartDriveDuo est l'un des tous derniers contrôleurs de moteur sériels intelligents conçus pour actionner un moteur CC à balais de puissance moyenne, avec une capacité de courant allant jusqu'à 80 A en crête et 30 A en continu. Ce contrôleur est conçu spécialement pour contrôler un robot mobile à entraînement différentiel à l'aide d'un contrôleur RC. Cependant, le MDDS30 peut également être contrôlé à l'aide d'un joystick ou d'un microcontrôleur analogique (MLI, sériel).  Les MOSFET sont commutés à 18 kHz pour assurer un fonctionnement silencieux sans gémissement gênant. En outre, il est également équipé d'une unité microcontrôleur pour fournir des fonctionnalités intelligentes telles que des modes d'entrée multiples, la protection de la limite de courant et la protection thermique.  Caractéristiques :","Entrée compatible : 3,3 et 5 V Canaux de moteur : 2 Tension nominale (VCC) : 7 à 35 Courant de crête (A) : 80 Courant continu (A) : 30 Blindage Arduino : NON MLI (verrouillée en opposition de phase et à signe-magnitude) : OUI UART : OUI Analogique : OUI Signal de servomoteur RC : OUI Protection contre la polarité : NON Protection du courant/thermique : OUI Indicateur DEL : OUI Bouton de test/manuel : OUI Autres caractéristiques Autres : compatible Groove",Average rating is 4.71 stars
Contrôleur de Moteur Regénératif Sabertooth 2x32A 6V-24V Dimension Engineering,Dimension Engineering,https://eu.robotshop.com//fr/products/controleur-moteur-regeneratif-sabertooth-2x32a-6v-24v-dimension-engineering#,"Prix en promotion€133,58","Le Contrôleur de Moteur Régénératif Sabertooth 2x32 A 6 V-32 V Dimension Engineering est un contrôleur de moteur à double canal capable d'alimenter deux moteurs en 32 ampères, avec jusqu'à 64 ampères de courant de crête par moteur. Il peut être géré depuis une entrée radiocommandée, analogique, série TTL ou USB. Il utilise un contrôleur et le freinage régénératif pour un fonctionnement efficace. Un grand nombre de modes d'exploitation, dont le mixage de type tank et l'étalonnage automatique, permettent à la plupart des projets d'être opérationnels dès la sortie de la boîte.   En plus des modes de fonctionnement standard, Sabertooth 2x32 dispose d'entrées de signal et de sorties de puissance supplémentaires, ainsi que d'options de configuration améliorées. Les modes de fonctionnement définis par l'utilisateur permettent des opérations personnalisées, telles que la commutation entre la radiocommande et les entrées pilotées par ordinateur à la volée, les arrêts d'urgence ou les dérogations aux commandes du panneau avant. Les sorties d'alimentation auxiliaire peuvent être configurées pour permettre au Sabertooth 2x32 de fonctionner à partir d'une alimentation sans batterie parallèle, ou de contrôler automatiquement les freins électromagnétiques. Associé au module de contrôle de mouvement Kangaroo x2 de Dimension Engineering, le Sabertooth 2x32 peut être utilisé pour le contrôle de position ou de vitesse en boucle fermée avec un encodeur ou un retour analogique. L'état du pilote peut être contrôlé en temps réel à l'aide du port USB dans n'importe quel mode de fonctionnement, ce qui rend le débogage de votre projet plus rapide et plus facile. Sabertooth 2x32 est plus flexible, plus robuste et plus puissant que les pilotes de moteurs précédents, tout en étant plus facile à utiliser.","32A continu, 64A crête par canal Tension : de 6 à 30 V nominal, 33,6 V de maximum absolu Conduite régénérative synchrone Fréquence de commutation ultrasonique de 30 kHz Protection thermique et contre les surintensités Mode de protection de la batterie Contrôle et surveillance par USB Mode convertisseur série USB pour Kangaroo x2 Limitation de courant configurable Modes utilisateur personnalisés Sorties moteur 12 bits Modes d'entrée : analogique, R/C, série (texte clair ou paqueté), USB Les sorties de puissance peuvent agir comme des étrangleurs de tension, des freins, ou être contrôlables Robots de combat jusqu'à 100lb Robots normaux et de loisir jusqu'à 300lb Robots à entraînement différentiel Véhicules électriques, jouets porteurs, trottinettes",Average rating is 4.85 stars
"Contrôleur de moteur CC simple 13 A, 5-30 V Cytron",Cytron,https://eu.robotshop.com//fr/products/controleur-moteur-cc-simple-13-a-5-30-v-cytron#,"Prix en promotion€18,57","Le contrôleur de moteur CC simple 13 A, 5-30 V de Cytron est une version améliorée du MD10B qui est conçu pour piloter un moteur CC à balais à courant élevé jusqu'à 13 A en continu. Il offre plusieurs améliorations par rapport au MD10B, telles que la prise en charge des signaux PWM à antiphase verrouillée et à amplitude de signe, ainsi que l'utilisation de composants à semi-conducteurs complets qui se traduisent par un temps de réponse plus rapide et éliminent l'usure du relais mécanique.  Fonctionnalités",,Average rating is 4.82 stars
Blindage WiFi ESP8266,Makerfabs,https://eu.robotshop.com//fr/products/blindage-wifi-esp8266#,"Prix en promotion€11,29","Le Blindage WiFi ESP8266 est un module UART-WiFi à ultra faible puissance. Il est doté d'excellentes dimensions et de la technologie ULP, comparé à d'autres modules similaires. Ce module est conçu spécialement pour les appareils mobiles et l'Internet des Objets (IdO). Ce Blindage WiFi est basé sur l'ESP-12F, qui est la nouvelle version de l'ESP-12 dotée de la puce WiFi ESP8266. Ce blindage vous permet de rendre votre dispositif Arduino facile à connecter au réseau et de le contrôler n'importe où. Simple communication par interface UART et contrôle par commande AT.",Prend en charge l'interface de communication de données UART/GPIO Prend en charge le réseau intelligent SmartLink Prend en charge la mise à jour à distance du micrologiciel (OTA),Average rating is 4.73 stars
Kit de Soudure de Capteur et Générateur de Fil de Périmètre RobotShop,RobotShop,https://eu.robotshop.com//fr/products/kit-soudure-capteur-generateur-fil-perimetre-robotshop#,"Prix en promotion€11,47","Le générateur de fils périmétriques RobotShop et le kit de soudage par capteur sont largement utilisés dans l'industrie, en particulier dans les entrepôts où la manipulation est automatisée. Les robots suivent une boucle de fil enfouie dans le sol. Un courant alternatif d'intensité et de fréquence relativement faible entre 5Kz et 40KHz circule dans ce fil. Le robot est équipé de capteurs inductifs, généralement basés sur un circuit réservoir (avec une fréquence de résonance égale ou proche de la fréquence de l'onde générée) qui mesure l'intensité du champ électromagnétique proche du sol.  La carte de générateur est basée sur la temporisation populaire NE555 et la carte de capteur inclut deux inductances. Une chaîne de traitement (amplification, filtres, comparaison) permet de déterminer la position du robot à l'intérieur du fil. Notez que le fil périmétrique n'est pas inclus, mais il est livré avec les composants du trou traversant.",,Average rating is 4.14 stars
Pilote de moteur à courant continu à double canal Cytron 10A 5-30V,Cytron,https://eu.robotshop.com//fr/products/pilote-moteur-courant-continu-double-canal-cytron-10a-5-30v#,"Prix en promotion€27,08","Remarque : pas de protection contre l'inversion de polarité sur Vmotor, veuillez vérifier la polarité avant la mise sous tension. Le pilote de moteur à courant continu à double canal 10A 5-30V est la version à double canal du MD10C qui est conçue pour piloter 2 moteurs à courant continu à balais avec un courant élevé allant jusqu'à 10 A en continu. Comme le MD10C, il prend également en charge les signaux PWM à antiphase verrouillée et à magnitude de signe.  Il utilise des composants à semi-conducteurs complets qui permettent un temps de réponse plus rapide et éliminent l'usure du relais mécanique. Entièrement NMOS H-Bridge pour une meilleure efficacité et aucun dissipateur de chaleur n'est requis.","Courant moteur continu maximum : 10 A Courant moteur crête : 30 A Entrée logique (niveau haut) : 3 - 5,5 V Entrée logique (niveau bas) : 0 - 0,5 V Fréquence PWM maximale : 20 khz",Average rating is 4.74 stars
Platine de Développement Microcontrôleur USB Teensy 4.0,PJRC,https://eu.robotshop.com//fr/products/platine-developpement-microcontroleur-usb-teensy-40#,"Prix en promotion€27,43","La Platine de Développement Microcontrôleur USB Teensy 4.0 est la dernière version de Teensy. Elle propose le microcontrôleur le plus rapide et des périphériques puissants dans le facteur de forme Teensy 1,4 x 0,7 pouces. Teensy 4.0 prend en charge la mise à l'échelle dynamique de l'horloge. Contrairement aux microcontrôleurs traditionnels, où la modification de la vitesse d'horloge entraîne des débits en bauds erronés et d'autres problèmes, le matériel Teensy 4.0 et la prise en charge logicielle de Teensyduino pour les fonctions de synchronisation Arduino sont conçus pour permettre des changements de vitesse dynamiques.  Teensy 4.0 fournit également une fonction de mise hors tension. En connectant un bouton-poussoir à la broche On / Off, l’alimentation 3,3 V peut être complètement désactivée en maintenant le bouton enfoncé pendant 5 secondes, puis rallumée par une brève pression sur le bouton. Si une pile bouton est connectée au VBAT, le RTC de Teensy 4.0 continue également de suivre la date et l’heure lorsque l’appareil est hors tension.  ","BRAS Cortex-M7 à 600 MHz 1024K de RAM (512K est étroitement couplé) 2048K Flash (64K réservé à la récupération et à l’émulation EEPROM) 2 ports USB, tous deux 480 Mbit / s 3 bus CAN (1 avec CAN FD) 2 audio numérique I2S 1 audio numérique S / PDIF 1 SD audio (4 bits) SD natif 3 SPI, tous avec FIFO de 16 mots 3 I2C, tous avec une FIFO de 4 octets 7 séries, toutes avec FIFO de 4 octets 32 canaux DMA à usage général 31 broches PWM 40 broches numériques, toutes capables d'interruption 14 broches analogiques, 2 CAN sur puce Accélération cryptographique Générateur de nombres aléatoires RTC pour date / heure FlexIO programmable Pipeline de traitement des pixels Déclenchement croisé périphérique Gestion de mise en marche / arrêt",Average rating is 5.00 stars
