project_name,link,description,composants
Solve a Sudoku Puzzle With a CNC Machine,https://www.instructables.com/Solve-a-Sudoku-Puzzle-With-a-CNC-Machine,"I created my first Sudoku robot in 2013. It was the first robot I created, as a capstone project for a robotics course at the local community college. I based it on an industrial-class ""XYZ table"" that was around 6 feet x 4 feet. I used a Raspberry Pi 1 microcomputer as the ""brain"", with an attached a Raspberry Pi camera v1. I used a 24"" x 18"" whiteboard to present a 4x4 Sudoku puzzle. The Pi took a photo of the whiteboard, ran a simple heuristic to find the Sudoku puzzle, solved the puzzle, and drove the XYZ table to draw the solution on the whiteboard with a dry-erase marker. After the 2013 project, I spent several years creating a handful of autonomous mobile robots; the last took over two years to finish. I then spent a few years on various projects, mostly unrelated to robotics. Recently, I felt the urge to create another robot. While pondering what to build, I developed some criteria for shaping the nature of the to-be robot. First, I wanted to scope the project so that it might take closer to two months rather than two years. Second, I wanted it to be fun. Third, I wanted to learn something new. Fourth, to the extent possible, I wanted to reuse components I already owned. I thought back to that first Sudoku robot. I decided to replace the massive XYZ table with something that would fit on a desktop. I also decided to replace the whiteboard with a capacitive touch tablet running a Sudoku app with 9x9 puzzles. I examined my parts inventory. I found I was missing primarily the parts needed to replace the XYZ table. A bit of investigation suggested an entry-level CNC machine would recreate the required capabilities at a reasonable cost, and with little work for me. The approach for the Sudoku robot became: Take a photo of a Sudoku puzzle on a tablet Analyze the photo to identify the numbers and blank cells in the puzzle Solve the puzzle Drive the CNC machine to render the puzzle solution on the tablet I concluded this scope could satisfy all the criteria, and I initiated the project to solve a Sudoku puzzle with a CNC machine. As with any project, I expected surprises on the journey from concept to reality. Indeed, the journey was both cautious, due to my unfamiliarity with CNC machines, and meandering, as I adapted to surprises and improvements. What I'll describe eliminates most of the meandering, but retains most of the caution on the journey.","Consistent with the Introduction's generic description of the Sudoku robot, I provide generic component names for my design for the robot. In Step 1, I identify the real components that I used in my implementation. If you create a different design even this generic list could change. Microcomputer Camera Tablet with Sudoku app Vertical and horizontal parts Camera holder Fasteners Stylus for tapping on the tablet Soldering iron Hex wrench Screw drivers"
OpenCycloid - 3D-printed Open-Source Robotic Actuator,https://www.instructables.com/OpenCycloid-3D-printed-Open-Source-Robotic-Actuato,"OpenCycloid is a 3D-printed open-source robotic actuator that I designed to be a high-torque, easy-to-build, and relatively inexpensive solution for creating dynamic robotic systems. The actuator uses a 90KV Eagle Power BLDC Motor as well as an ODrive S1 FOC controller. In closed-loop control mode, the S1 allows you to control the position, velocity, and torque of a brushless motor. With an onboard encoder, the S1 rests on the bottom of the actuator in order to measure the BLDC motor’s position. The top of the actuator features a 20:1cycloidal gear drivethat I’ve designed with high eccentricity cycloidal gears in order to reduce gear slippage in high-load applications. I originally started by building the OpenQDD open-source actuator developed by Aaed Musa to design an affordable robotic arm. However, I discovered that OpenQDD did not provide enough torque for my project and components of this design repeatedly broke under load using SLA 3D printed parts. Through testing various, 3d printed planetary, compound planetary, and commercially available steel and nylon planetary systems, I realized that cycloidal gearing provided the best option for achieving a high gear ratio within a robust yet compact form factor. Advanced robots like Spot, Atlas, and Go2, as well as commercially available robotic arms are made possible by powerful, compact, and well-designed actuators. With OpenCycloid, high-performing actuators at an affordable price become much more accessible. This project is heavily inspired by theOpenQDDactuator made by Aaed Musa as well as the3D Printed Cycloidal Drivemade by Dejan Nedelkovski. I used theparametric 2 disk cycloidal gear drivemade by Aaed Musa to generate the cycloidal disks in fusion 360. These open-source actuators follow similar working principles to OpenCycloid and are also fully 3D printed.  Specifications 20:1 two disk cycloidal gear drive ODrive S1FOC Controller with an Onboard Encoder 90KV Eagle Power BLDC Motor x12 3D Printed Parts Air Vents for Passive Cooling Peak Holding Torque: 55 Nm Peak Working Torque: 29.37 Nm Total Mass: 1685g (3.7 lbs) Total Cost: $319","Tools needle nose pliers Allen wrench set soldering iron 3D Printer Electronic Parts Eaglepower 8308 Brushless Motor 90KV ODrive S1 (w/Screw Terminals) General Parts ⌀8 x 2.5mm Encoder Magnet M3 x 6mm Screws(x2) M3 x 10mm Screws (x4) M3 X 16mm Screws (x4) M3 X 30mm Screws (x4) M3 x 6mm Inserts(x6) M3 x 5mm Standoffs(x4) M4 x 10mm Screws (x4) M4 X 25mm Screw (x4) M4 X 110mm Screw (x4) 6mm X 30mm Dowel Pin (x27) 17x26x5mm Bearings (x4) 75x95x10mm Bearing(x1) 6mm Bore x 8mm OD x 10mm Sleeve Bearings (x42) White Lithium Grease(Lubricant) Total Cost $319.00  Disclaimer: Buying the parts as listed is not necessarily the most economical way to achieve a high-torque actuator, but it can be cost-effective if you use alternative motor controllers and purchase hardware in bulk. For example, theRobstride 03 actuatoruses all metal parts and achieves 60 Nm peak torque for $250. Using an alternative motor controller like anODESC V4.2withAS5048A Magnetic Encoderand sourcing other inexpensive hardware could bring this actuator’s total cost down to around $170, which is cheaper than commercial alternatives."
E-GOR the Retro Robot,https://www.instructables.com/E-GOR-the-Retro-Robot,"This is E-G0R, a retro styled robot that can be programmed for versatile use.","Tank Tread Link Egor Parts Link  (x4)150 kg/cm 12V 270 degree dual shaft servos (x2)150 kg/cm 12V 270 degree servos (x2)80kg/cm 6V 270 degree servos (x5)MG996R 15kg/cm 6V 180 degree servos (x2)2020 Extrusion(200mm) (x10)2020 Extrusion(300mm) (x1)2020 Extrusion(400mm) (x1)2020 Extrusion (1000mm) (x10)2020 Extrusion L-Brackets (x16)M2.5 Heat Inserts (x1)M3x12 Screw (x4)M3x20 Screws (x25-50)M3x8 Screws (x2)M3 Nuts (x25-50)M3 T-Nuts (x4)M4x16 Screws (x4)M4 Nuts (x1)M8x150mm Hollow Rod (x2)8mm (Inner Diameter) Shaft Collar (x1)6"" Round Lazy Susan Bearing (x1)30x42x7mm Bearing (x4)KP08 Bearings (8mm I.D Bearing with set screws) (x2)RC Servo Shocks (Length range: 100-130mm) or linkage rods with adjustable length (100-130mm) (x2)6mm 6V Indicator Lights (x1)PCB Board and some male header pins to make a Servo bus/board (x1)12v-6v 10A Transformer"
"A Robotic Arm, Based on Mg90s Servos and 28BYJ-48 Stepper Motor.",https://www.instructables.com/A-Robotic-Arm-Based-on-Mg90s-Servos-and-28BYJ-48-S,"Hi! I’m Wiktor, a 13-year-old electronics, robotics, and programming enthusiast. Recently, I created a robotic arm that you can control and program using a computer app (which I also developed!). I designed this robotic arm using Fusion 360 for 3D modeling and Visual Studio Code for programming. It features MG90s servo motors, a 28BYJ-48 stepper motor, and a lot of 3D-printed parts, screws, and heat inserts.","Base compartment x 1 Base lid x 1 Left gripper x 1 Right gripper x 1 Lower arm x 1 Upper arm x 1 Base disc x 1 Shoulder servo holder x 1 Gripper servo holder x 1 Gripper holder x 1 MG90s servo x 2 SG92R servo x 1 (can be replaced with an MG90s) 28BYJ-48 stepper motor x 1 ULN2003 driver x 1 (I have a red one, bigger green ones are also common) Custom ""servo driver"" board x 1 (See Step 1) Arduino Uno Servo horn x 3 (The type shown in the picture) M4x12mm bolt x 2 M4 nut x 2 M3x10mm bolt x 2 (12mm also works) M2x12mm bolt x 4 M2 washer x 8 M2x7mm bolt x 4 (12mm cut down to 7mm) M3X12mm bolt x 4 Screws for securing servo horns x 3 M2x7mm screw x 1 (From the servo ""kit"") M3x5mm heat insert x 2 20cm Male-Female jumper wire x 9 10cm Female-Female jumper wire x 2 10cm servo wire extension x 1 (Can be replaced with normal jumper wires)"
The Smart Fish. Programmable Robot,https://www.instructables.com/The-Smart-Fish-Programmable-Robot,"The Smart Fishis a programmable robot based onATmega 328Pmicrocontroller. It is a fish with an exoskeleton that allows it to get out of the water. And the reason why is because we have polluted its environment. I think it is a cute Robot to attract the little ones to the world of electronics, programming, and robotics. You can start withsimple exercisessuch as working with LEDs, and push buttons and reach morecomplex projectswith sensors, quadrupeds, and so on. My goal with this project was to make a versatile robot in three ways. A robot with interchangeable parts. It can use wheels, legs, propellers... A robot for beginners and advanced. You can reuse old toys or add your own designs.","Just for the curious, I will say that I had the idea for this design 19 years ago, when unfortunately an oil tanker, ""The Prestige"", had an accident off the north coast of Spain. Then I imagined thousands of Smart Fishes coming out of the water to help us clean up the mess. At that time I only designed a very rudimentary version of the character for 3D animations. Recently, with the current state of the seas and oceans, I thought about the Smart Fish again, but this time I wanted it to be ""real"". I started by recovering the initial designs and adapting them to the new concept. Many hours later... ;) I came up with a 3D design that met my expectations both aesthetically and technically. (Photo 1.2.3)"
Autoguided Telescope,https://www.instructables.com/Autoguided-Telescope,"This project was developed within the Orange Digital Center Morocco , a space dedicated to fostering innovation, creativity, and rapid prototyping. At the FabLab, individuals and teams have access to state-of-the-art tools, including 3D printers, laser cutters, and a variety of electronic and mechanical resources. The center provides a collaborative environment where innovators, entrepreneurs, and students can transform their ideas into tangible products. By focusing on sustainable and impactful solutions . Imagine a telescope with a motorized Dobsonian mount that transforms stargazing into an awe-inspiring adventure. With just a selection, it automatically guides itself to your chosen star, using precise online data or ingenious offline calculations to navigate the cosmos. It's more than just a telescope—it's a gateway to the universe, empowering you to explore the stars with confidence and ease. Whether you’re an experienced astronomer or just beginning your celestial journey, this tool is a reminder that no star is too distant, no dream too big. Look up, select your target, and let this telescope take you there—because the universe is yours to explore!",
Tillu - the Robot,https://www.instructables.com/Tillu-the-Robot,"MeetTillu - The Robot, a unique fusion of advanced robotics and creativity designed to inspire learning and innovation! Powered by theUNIHIKERrunningDebian OS. Tillu leverages the capabilities of a robust control system to deliver lifelike movements and dynamic interactions. At the core of its design are15Kg servo motor legs, enabling it to walk, dance, and perform complex movements with precision. Tillu’s expressive personality comes alive with a variety of facial expressions displayed on its built-in screen, alongside a rich suite ofsensors, including: Amicrophonefor voice recognition. A6-axis gyroscopefor balance and orientation. Abuzzerfor sound-based interactions. And adisplaythat adds an extra dimension of charm! This robot is not just about functionality; it’s a platform forcreative possibilities. Whether you're programming its movements usingPythonor exploring visual programming withMind+, Tillu is the perfect companion for learners and enthusiasts alike. Inspired by the beloved Otto DIY robots, Tillu’s design journey involved extensive work inFusion 360for CAD modeling and precise3D printingto bring it to life. Every detail, from its sturdy servo-driven legs to its modular design, is tailored for durability and aesthetics. With example codes already developed, Tillu can: Move in any direction:forward, backward, left turn, right turn. Express emotions with diversefacial expressions. Perform10+ unique dance steps, making it the life of the party! Respond to voice commandsthrough its advanced speech recognition system. Building Tillu is not just a project; it’s a learning experience. Dive deep into robotics, explore the intricacies of programming, and unleash your creativity by customizing its movements and expressions. Whether you’re a student, hobbyist, or maker, Tillu is a steppingstone into the exciting world of robotics. Let’s bring Tillu to life and push the boundaries of what robots can do!  IntroducingJLCMC, the newest addition to the trusted JLC family, delivering high-quality mechanical parts at the best prices in the market. With a legacy of excellence established by JLCPCB, JLCMC is here to provide reliable and affordable solutions for all your mechanical needs. Why Choose JLCMC? A Trusted Name: JLCMC is built on the foundation of JLC services, a global leader in PCB manufacturing and prototyping. Their commitment to quality and customer satisfaction carries forward into their mechanical parts services. Unbeatable Prices: True to the JLC legacy, JLCMC offers mechanical parts at industry-leading prices, ensuring that your projects stay on budget without compromising on quality. Wide Range of Products: From precision-engineered components to custom solutions, JLCMC has everything you need to bring your ideas to life, whether you're a hobbyist or a professional. Global Trust: JLC services have earned the trust of millions of makers worldwide. With JLCMC, you get the same reliability, now in the realm of mechanical parts. Check Out This Offers and Customized solutions from JLCMC: Aluminum Enclosure Aluminum Profile Frame Screw and Nut Set Linear Module JKK60 Series VisitJLCMC.comto explore their offerings, claim your $19 coupons for the new user registration, and take advantage of the amazing year-end discounts. Join the growing community of makers and professionals who trust JLCMC for their mechanical needs.",1xUnihiker 4xServo 1xBattery Managment 2xUSB Type-C Extension 1xTactile Push Buttons 1xTouch Sensor 1xScrews Kit  Tools: My 3D Printer My Screwdriver Kit
Air Hockey Robot With Shot Prediction,https://www.instructables.com/Air-Hockey-Robot,Ever wanted to play air hockey against a computer in real life? Well I have the solution for you - a DIY Air Hockey Playing Robot! It's a bit of fun as the robot doesn't put up too much of a challenge against a human player but it turns out when it's configured just right it can actually be pretty tough to score against.,Disclaimer - Supplies list may include affiliate/paid links. 27 inch Air Hockey Table (H70 x W16.8 x D37cm) Raspberry Pi 3B+Amazon Pi camera v2Amazon Arduino UnoAmazon TMC2208 stepper driversAmazon 2× Nema 17 steppersAmazon 2.5m GT2 6mm timing beltAmazon GT2 pulleys and idlers kitAmazon 4× 8mm x 300mm Linear RodsAmazon 4× 8mm Linear motion bearingsAmazon 12V 10A power supplyAmazon 12V DC Adapter PlugAmazon Solid core wire 22 AWGAmazon M3 nuts and boltsAmazon BreadboardAmazon Air hockey tableAmazon PLAAmazon 3D Printer Screwdriver Multimeter
Two-Wheeled Drive Car With a Robotic Arm,https://www.instructables.com/Two-Wheeled-Drive-Car-With-a-Robotic-Arm,"This project was developed within theOrange Digital Center Morocco, a space dedicated to fostering innovation, creativity, and rapid prototyping. Atthe FabLab, individuals and teams have access to state-of-the-art tools, including 3D printers, laser cutters, and a variety of electronic and mechanical resources. The center provides a collaborative environment where innovators, entrepreneurs, and students can transform their ideas into tangible products. By focusing on sustainable and impactful solutions . This is a great beginner project for anyone to make! It is a robotic arm mounted on a Two Wheeled Drive vehicle designed to perform various manipulation tasks in dynamic environments. The base consists of a small robot car, often with rugged wheels for diverse terrain. The two main wheels are motorized for movement and steering. The arm, centrally mounted on the car’s upper structure for balance, features multiple motorized joints for movements such as rotation, bending, and extension, all controlled by servos. Preparedby Ilyasse Ait Moulay Blla.","To start building a Two-Wheeled Drive Car with a Robotic Arm, the first step is to acquire the necessary hardware. Breadboard– A board for making temporary circuits without soldering. Bluetooth Module (HC-05 or HC-06)– For wireless communication using Bluetooth. L293D Motor Driver– Used to control the direction and speed of motors. PCA9685 Servo Driver– A 16-channel, 12-bit PWM driver for controlling multiple servos or LEDs. SG90 Servo Motors (x5)– Mini servo motors commonly used in robotics. Arduino Uno– A popular microcontroller board based on the ATmega328P. On/Off Switch– A basic switch to control power to a circuit. DC Barrel Jack– For power input, used with Arduino boards. 18650 Li-ion Batteries (x2)– Rechargeable lithium-ion batteries, each rated at 2200mAh and 3.7V. 2-Wheeled Robot Car Kit– It includes components to build a basic two-wheeled robot with motorized wheels and a balancing caster wheel. 3D Printed Robot Arm– It consists of 3D-printed parts. We will provide the STL files for the 3D models in the 3D modeling section"
Ghost Candy Dispenser,https://www.instructables.com/Ghost-Candy-Dispenser,"Hi there! Did you enjoy Halloween in 2024? Since I'm usually not home during trick-or-treat time, for the past three years, I've been leaving handmade candy dispensers at the front door. Unfortunately, this year's dispenser didn't work well on the day because the battery ran out midway, and the candies often got stuck. So, I modified it to allow switching between USB power and battery power, and improved the mechanism to reduce the jamming problem. In this project, I'll share how to make this year's improved version. I hope this project is useful for next Halloween, or at the very least, that you enjoy reading about it!","Parts MCU:M5StampS3 (M5Stack)(×1) RC servo motor:MG90S(×1) HC-SR04 Ultrasonic Sensor Module(×1) 1.5"" 4 Ω 3 W speaker and PAM8403 amplifier module(×1) DFPlayer mini MP3 player(×1) Micro SD card (×1) DC-DC converter:Adafruit MiniBoost 5V @ 1A - TPS61023(×1) USB-C socket breakout(×1) 3.7 V LiPo battery (optional) Power switch:slide, SPDT(×1) Red LEDs:pre-wired SMD LED, RED(×2) RGB LEDs:WS2812B breakout module(×10) Discrete Semiconductor parts: resistors 1 kΩ (×1), 4.7 kΩ (×3), 10 kΩ (×1); diode 1N4148 (×1); NPN transistor 2SC1815 (×1) Pin headers and sockets Universal PCB(×1)(depending on wiring) Screws:M3 × 8 mm with nuts (×2), M2 × 6 mm with nuts (×2), M2 × 8 mm with nuts (×2), M2 × 10 mm with nuts (×2) Candies: Hi-Chew  Tools 3D printer:Flashforge Adventurer 4(Filament: black and white PLA) Screwdrivers Soldering tools Acrylic paint tools Masking tape (optional) Double-sided tape Hot glue gun  Software Visual Studio Code with PlatformIO IDE (Arduino) Autodesk Fusion  Service Freesound"
Lily∞Bot With Micro:Bit and Motor:Bit Does Obstacle Avoidance,https://www.instructables.com/LilyBot-With-MicroBit,"This project will explain how to get obstacle avoidance working on the open-source modular 3d printed robot, Lily∞Bot, using the Micro:Bit, MotorBit, sonar and 2 DC motors. It will describe, building the robot, wiring the hardware and electronics and programmming the robot. Since this is graphical programming, the project is appropriate for elementary age kiddos, 1st - 4th grade. This same robot can grow with the user by changing the controller and programming language to Circuit Playground Express, Arduino Uno, Raspberry Pi Pico W, and more to come! Learn more about Lily∞Bot atNoireSTEMinist.com/robotsand on Youtube athttps://youtube.com/carlottaberry  ",The parts list for the Lily∞Bot With Micro:Bit can be found on GITHUB and on Amazon at the following links: https://www.amazon.com/hz/wishlist/ls/16Q4OHY4E8AF3?ref_=wl_share https://bit.ly/3Xuwe7Z Primary components are the 3d printed parts available onGITHUB Micro:Bit Motor:Bit Sonar Motors Wheels
