link,project_name_fr,composants_fr,description_fr,description_preprocessed
https://www.instructables.com/Solve-a-Sudoku-Puzzle-With-a-CNC-Machine,résolvez un puzzle sudoku avec une machine cnc,"conformément à la description générique du robot sudoku dans l'introduction, je fournis des noms de composants génériques pour ma conception du robot. à l'étape 1, j'identifie les véritables composants que j'ai utilisés dans mon implémentation. si vous créez un design différent, même cette liste générique pourrait changer. micro-ordinateur caméra tablette avec application sudoku pièces verticales et horizontales support caméra fixations stylet pour taper sur la tablette fer à souder clé hexagonale tournevis","j'ai créé mon premier robot sudoku en 2013. c'était le premier robot que j'ai créé, en tant que projet final pour un cours de robotique au collège communautaire local. je l'ai basé sur une ""table xyz"" de classe industrielle qui mesurait environ 6 pieds x 4 pieds. j'ai utilisé un micro-ordinateur raspberry pi 1 comme ""cerveau"", avec une caméra raspberry pi v1 connectée. j'ai utilisé un tableau blanc de 24"" x 18"" pour présenter un puzzle sudoku 4x4. le pi a pris une photo du tableau blanc, a exécuté une heuristique simple pour trouver le puzzle sudoku, a résolu le puzzle et a piloté la table xyz pour dessiner la solution sur le tableau blanc avec un marqueur effaçable à sec. après le projet de 2013, j'ai passé plusieurs années à créer une poignée de robots mobiles autonomes ; le dernier a mis plus de deux ans à se terminer. j'ai ensuite passé quelques années sur divers projets, pour la plupart sans rapport avec la robotique. récemment, j'ai ressenti le besoin de créer un autre robot. en réfléchissant à ce qu'il fallait construire, j'ai développé quelques critères pour façonner la nature du futur robot. premièrement, je voulais définir la portée du projet de manière à ce qu'il prenne plus de deux mois plutôt que deux ans. deuxièmement, je voulais que ce soit amusant. troisièmement, je voulais apprendre quelque chose de nouveau. quatrièmement, dans la mesure du possible, je souhaitais réutiliser les composants que je possédais déjà. j'ai repensé à ce premier robot sudoku. j'ai décidé de remplacer l'énorme table xyz par quelque chose qui tiendrait sur un bureau. j'ai également décidé de remplacer le tableau blanc par une tablette tactile capacitive exécutant une application sudoku avec des grilles 9x9. j'ai examiné mon inventaire de pièces. j'ai constaté qu'il me manquait principalement les pièces nécessaires pour remplacer la table xyz. une petite enquête a suggéré qu'une machine cnc d'entrée de gamme recréerait les capacités requises à un coût raisonnable et avec peu de travail pour moi. l'approche du robot sudoku était la suivante : prendre une photo d'un puzzle sudoku sur une tablette analyser la photo pour identifier les chiffres et les cellules vides du puzzle résoudre le puzzle piloter la machine cnc pour restituer la solution du puzzle sur la tablette j'ai conclu cette portée pouvait satisfaire à tous les critères, et j'ai lancé le projet de résoudre un puzzle sudoku avec une machine cnc. comme pour tout projet, je m'attendais à des surprises lors du voyage du concept à la réalité. en effet, le voyage a été à la fois prudent, en raison de ma méconnaissance des machines cnc, et sinueux, car je me suis adapté aux surprises et aux améliorations. ce que je vais décrire élimine la plupart des méandres, mais conserve l'essentiel de la prudence lors du voyage.",créer robot sudoku 2013 robot créer projet final cours robotique collège communautaire local baser table xyz classe industriel mesurer 6 pied x 4 pied utiliser micro-ordinateur raspberry pi 1 cerveau caméra raspberry pi v1 connecter utiliser tableau blanc 24 x 18 présenter puzzle sudoku 4x4 pi prendre photo tableau blanc exécuter heuristique simple trouver puzzle sudoku résoudre puzzle piloter table xyz dessiner solution tableau blanc marqueur effaçable sec projet 2013 passer année créer poignée robot mobile autonome dernier mettre an terminer ensuite passer année projet plupart rapport robotique récemment ressentir besoin créer robot réfléchir falloir construire développer critère façonner nature futur robot vouloir définir portée projet manière prendre mois an vouloir amusant vouloir apprendre chose mesure souhaiter réutiliser composant posséder repenser robot sudoku décider remplacer énorme table xyz chose tenir bureau décider remplacer tableau blanc tablette tactile capacitif exécuter application sudoku grille 9x9 examiner inventaire pièce constater manquer principalement pièce nécessaire remplacer table xyz petit enquête suggérer machine cnc entrée gamme recréer capacité requérir coût raisonnable travail approche robot sudoku prendre photo puzzle sudoku tablette analyser photo identifier chiffre cellule vide puzzle résoudre puzzle piloter machine cnc restituer solution puzzle tablette conclure portée satisfaire critère lancer projet résoudre puzzle sudoku machine cnc projet attendre surpris voyage concept réalité voyage être fois prudent raison méconnaissance machine cnc sinueux adapter surpris amélioration décrir éliminer plupart méandre conserve essentiel prudence voyage
https://www.instructables.com/OpenCycloid-3D-printed-Open-Source-Robotic-Actuato,opencycloid - actionneur robotique open source imprimé en 3d,"outils pince à bec effilé jeu de clés allen fer à souder imprimante 3d pièces électroniques eaglepower 8308 moteur sans balais 90kv odrive s1 (avec bornes à vis) pièces générales ⌀8 x 2,5 mm encodeur aimant m3 x 6 mm vis (x2) m3 x 10 mm vis (x4) m3 vis x 16 mm (x4) m3 vis x 30 mm (x4) m3 x inserts 6 mm (x6) entretoises m3 x 5 mm (x4) vis m4 x 10 mm (x4) vis m4 x 25 mm (x4) vis m4 x 110 mm (x4) goupille de 6 mm x 30 mm (x27) roulements 17x26x5 mm (x4) roulement 75x95x10 mm (x1 ) alésage de 6 mm x diamètre extérieur de 8 mm x roulements à manchon de 10 mm (x42) graisse au lithium blanche (lubrifiant) coût total 319,00 $ avertissement : l'achat des pièces répertoriées n'est pas nécessairement le moyen le plus économique d'obtenir un actionneur à couple élevé, mais cela peut être rentable si vous utilisez des contrôleurs de moteur alternatifs. et achetez du matériel en gros. par exemple, l'actionneur robstride 03 utilise toutes les pièces métalliques et atteint un couple maximal de 60 nm pour 250 $. l'utilisation d'un contrôleur de moteur alternatif tel qu'un odesc v4.2 avec un encodeur magnétique as5048a et l'achat d'un autre matériel peu coûteux pourraient ramener le coût total de cet actionneur à environ 170 $, ce qui est moins cher que les alternatives commerciales.","opencycloid est un actionneur robotique open source imprimé en 3d que j'ai conçu pour être une solution à couple élevé, facile à construire et relativement peu coûteuse pour créer des systèmes robotiques dynamiques. l'actionneur utilise un moteur eagle power bldc 90kv ainsi qu'un contrôleur odrive s1 foc. en mode de contrôle en boucle fermée, le s1 vous permet de contrôler la position, la vitesse et le couple d'un moteur sans balais. avec un encodeur intégré, le s1 repose sur le bas de l'actionneur afin de mesurer la position du moteur bldc. le dessus de l'actionneur est doté d'un entraînement par engrenages cycloïdaux 20:1 que j'ai conçu avec des engrenages cycloïdaux à haute excentricité afin de réduire le glissement des engrenages dans les applications à charge élevée. j'ai initialement commencé par construire l'actionneur open source openqdd développé par aaed musa pour concevoir un bras robotique abordable. cependant, j'ai découvert qu'openqdd ne fournissait pas suffisamment de couple pour mon projet et que les composants de cette conception se brisaient à plusieurs reprises sous la charge utilisant des pièces imprimées en 3d sla. en testant divers systèmes planétaires imprimés en 3d, planétaires composés et disponibles dans le commerce en acier et en nylon, j'ai réalisé que l'engrenage cycloïdal constituait la meilleure option pour obtenir un rapport de transmission élevé dans un facteur de forme robuste mais compact. les robots avancés comme spot, atlas et go2, ainsi que les bras robotiques disponibles dans le commerce, sont rendus possibles par des actionneurs puissants, compacts et bien conçus. avec opencycloid, les actionneurs hautes performances à un prix abordable deviennent beaucoup plus accessibles. ce projet s'inspire fortement de l'actionneur openqdd réalisé par aaed musa ainsi que du lecteur cycloïdal imprimé en 3d réalisé par dejan nedelkovski. j'ai utilisé l'entraînement paramétrique à engrenages cycloïdaux à 2 disques fabriqué par aaed musa pour générer les disques cycloïdaux dans fusion 360. ces actionneurs open source suivent des principes de fonctionnement similaires à ceux d'opencycloid et sont également entièrement imprimés en 3d.  spécifications entraînement à engrenages cycloïdaux à deux disques 20:1 contrôleur odrive s1foc avec un encodeur intégré moteur bldc eagle power 90kv x12 pièces imprimées en 3d bouches d'aération pour le refroidissement passif couple de maintien maximal : 55 nm couple de travail maximal : 29,37 nm masse totale : 1685 g (3,7 lbs) coût total : 319 $","opencycloid actionneur robotique open source imprimer 3d concevoir solution couple élevé facile construire coûteux créer système robotique dynamique actionneur utilis moteur eagle power bldc 90kv contrôleur odriv s1 foc mode contrôle boucle fermé s1 contrôler position vitesse couple moteur balais encodeur intégré s1 repose actionneur mesurer position moteur bldc actionneur doter entraînement engrenage cycloïdal 20:1 concevoir engrenage cycloïdal haute excentricité réduire glissement engrenage application charge élevé initialement commencer construire actionneur open source openqdd développé aaed muser concevoir bras robotique abordable découvrir openqdd fournir suffisamment couple projet composant conception briser reprise charge utiliser pièce imprimer 3d sla tester système planétaire imprimer 3d planétaire composé disponible commerce acier nylon réaliser engrenage cycloïdal constituer meilleur option obtenir rapport transmission élevé facteur forme robuste compact robot avancer spot atla go2 bras robotique disponible commerce rendre actionneur puissant compact bien concevoir opencycloid actionneur haute performance prix abordable devenir beaucoup accessible projet inspirer fortement actionneur openqdd réaliser aaed musa lecteur cycloïdal imprimer 3d réaliser dejan nedelkovski utiliser entraînement paramétrique engrenage cycloïdal 2 disque fabriquer aaed muser générer disque cycloïdal fusion 360 actionneur open source suivre principe fonctionnement similaire opencycloid entièrement imprimer 3d   spécification entraînement engrenage cycloïdal disque 20:1 contrôleur odriv s1foc encodeur intégré moteur bldc eagle power 90kv x12 pièce imprimer 3d bouche aération refroidissement passif couple maintien maximal 55 nm couple travail maximal 29,37 nm masse total 1685 gramme 3,7 lb coût total     319   dollar"
https://www.instructables.com/E-GOR-the-Retro-Robot,e-gor le robot rétro,"tank tread link egor parts link (x4)150 kg/cm 12v 270 degrés servos double arbre (x2)150 kg/cm 12v 270 degrés servos (x2)80 kg/cm 6v 270 degrés servos (x5)mg996r 15kg/cm 6v 180 degrés servos (x2)extrusion 2020 (200mm) (x10)extrusion 2020 (300 mm) (x1)extrusion 2020 (400 mm) (x1)extrusion 2020 (1 000 mm) (x10)supports en l pour extrusion 2020 (x16)inserts thermiques m2,5 (x1)vis m3x12 (x4)vis m3x20 (x25-50)vis m3x8 (x2) écrous m3 (x25-50) écrous en t m3 (x4) vis m4x16 (x4) écrous m4 (x1) tige creuse m8x150 mm (x2) collier d'arbre de 8 mm (diamètre intérieur) (x1) roulement lazy susan rond de 6"" ( x1) roulement 30x42x7 mm (x4) roulements kp08 (roulement id 8 mm avec vis de réglage) (x2) servo rc amortisseurs (plage de longueur : 100-130 mm) ou tiges de liaison avec longueur réglable (100-130 mm) (x2) voyants lumineux 6 mm 6v (x1) carte pcb et quelques broches mâles pour créer un bus/carte servo (x1) 12v-6v transformateur 10a","il s'agit d'e-g0r, un robot de style rétro qui peut être programmé pour une utilisation polyvalente.",agir e g0r robot style rétro programmer utilisation polyvalent
https://www.instructables.com/A-Robotic-Arm-Based-on-Mg90s-Servos-and-28BYJ-48-S,"un bras robotique, basé sur des servos mg90s et un moteur pas à pas 28byj-48.","compartiment de base x 1 couvercle de base x 1 pince gauche x 1 pince droite x 1 bras inférieur x 1 bras supérieur x 1 disque de base x 1 support de servo d'épaule x 1 support de servo de pince x 1 support de pince x 1 servo mg90s x 2 servo sg92r x 1 (peut être remplacé par un mg90s) moteur pas à pas 28byj-48 x 1 pilote uln2003 x 1 (j'en ai un rouge, un plus grand vert ceux-ci sont également courants) carte ""servo driver"" personnalisée x 1 (voir étape 1) klaxon de servo arduino uno x 3 (le type indiqué sur l'image) boulon m4x12 mm x 2 écrou m4 x 2 boulon m3x10 mm x 2 (12 mm fonctionne également) m2x12 mm boulon x 4 rondelle m2 x 8 boulon m2x7 mm x 4 (12 mm coupé à 7 mm) boulon m3 x 12 mm x 4 vis de fixation des palonniers de servo x 3 vis m2x7mm x 1 (du ""kit"" du servo) insert thermique m3x5mm x 2 câble de liaison mâle-femelle de 20 cm x 9 câble de liaison femelle-femelle de 10 cm x 2 extension de câble de servo de 10 cm x 1 (peut être remplacée avec des câbles de liaison normaux)","salut! je m'appelle wiktor, un passionné d'électronique, de robotique et de programmation de 13 ans. récemment, j'ai créé un bras robotique que vous pouvez contrôler et programmer à l'aide d'une application informatique (que j'ai également développée !). j'ai conçu ce bras robotique en utilisant fusion 360 pour la modélisation 3d et visual studio code pour la programmation. il comprend des servomoteurs mg90, un moteur pas à pas 28byj-48 et de nombreuses pièces, vis et inserts thermiques imprimés en 3d.",salut appeler wiktor passionné électronique robotique programmation 13 an récemment créer bras robotique pouvoir contrôler programmer aide application informatique développer concevoir bras robotique utiliser fusion 360 modélisation 3d visual studio code programmation comprendre servomoteur mg90 moteur 28byj-48 pièce vis insert thermique imprimer 3d
https://www.instructables.com/The-Smart-Fish-Programmable-Robot,le poisson intelligent. robot programmable,"juste pour les curieux, je dirai que j'ai eu l'idée de ce design il y a 19 ans, lorsque malheureusement un pétrolier, ""le prestige"", a eu un accident au large de la côte nord de l'espagne. ensuite, j’ai imaginé des milliers de smart fishes sortant de l’eau pour nous aider à nettoyer les dégâts. a cette époque, je ne concevais qu'une version très rudimentaire du personnage pour les animations 3d. récemment, avec l'état actuel des mers et des océans, j'ai repensé au smart fish, mais cette fois je voulais qu'il soit ""réel"". j'ai commencé par récupérer les designs initiaux et les adapter au nouveau concept. plusieurs heures plus tard... ;) j'ai abouti à un design 3d qui répondait à mes attentes tant esthétiquement que techniquement. (photo 1.2.3)","le smart fish est un robot programmable basé sur un microcontrôleur atmega 328p. c'est un poisson doté d'un exosquelette qui lui permet de sortir de l'eau. et la raison en est que nous avons pollué son environnement. je pense que c'est un joli robot pour attirer les plus petits vers le monde de l'électronique, de la programmation et de la robotique. vous pouvez commencer par des exercices simples comme travailler avec des led et des boutons poussoirs et atteindre des projets plus complexes avec des capteurs, des quadrupèdes, etc. mon objectif avec ce projet était de créer un robot polyvalent de trois manières. un robot avec des pièces interchangeables. il peut utiliser des roues, des pattes, des hélices... un robot pour débutants et confirmés. vous pouvez réutiliser de vieux jouets ou ajouter vos propres créations.",smart fish robot programmable baser microcontrôleur atmeger 328p poisson doter exosquelette sortir eau raison polluer environnement joli robot attirer petit monde électronique programmation robotique pouvoir commencer exercice simple travailler led bouton poussoir atteindre projet complexe capteur quadrupède etc. objectif projet créer robot polyvalent manière robot pièce interchangeable utiliser roue patte hélice robot débutant confirmer pouvoir réutiliser vieux jouet ajouter propre création
https://www.instructables.com/Tillu-the-Robot,tillu - le robot,1xunihiker 4xservo 1xbattery management 2xusb type-c extension 1xtactile push buttons 1xtouch sensor 1xscrews kit outils : mon imprimante 3d mon kit de tournevis,"meettillu - the robot, une fusion unique de robotique avancée et de créativité conçue pour inspirer l'apprentissage et l'innovation ! propulsé par unihiker exécutant le système d'exploitation debian. tillu exploite les capacités d'un système de contrôle robuste pour offrir des mouvements réalistes et des interactions dynamiques. au cœur de sa conception se trouvent des jambes de servomoteur de 15 kg, lui permettant de marcher, de danser et d'effectuer des mouvements complexes avec précision. la personnalité expressive de tillu prend vie avec une variété d'expressions faciales affichées sur son écran intégré, ainsi qu'une riche suite de capteurs, notamment : un microphone pour la reconnaissance vocale. gyroscope à 6 axes pour l'équilibre et l'orientation. buzzer pour les interactions sonores. et un présentoir qui ajoute une dimension de charme supplémentaire ! ce robot n'est pas seulement une question de fonctionnalité ; c'est une plateforme de possibilités créatives. que vous programmiez ses mouvements en utilisant python ou que vous exploriez la programmation visuelle avec mind+, tillu est le compagnon idéal pour les apprenants comme pour les passionnés. inspiré par les bien-aimés robots otto diy, le parcours de conception de tillu a impliqué un travail approfondi sur fusion 360 pour la modélisation cao et l'impression 3d précise pour lui donner vie. chaque détail, de ses pieds robustes servocommandés à sa conception modulaire, est conçu pour la durabilité et l'esthétique. avec des exemples de codes déjà développés, tillu peut : se déplacer dans n'importe quelle direction : avant, arrière, virage à gauche, virage à droite. exprimez vos émotions avec diverses expressions faciales. effectuez plus de 10 pas de danse uniques, ce qui en fait la vie de la fête ! répondez aux commandes vocales grâce à son système avancé de reconnaissance vocale. construire tillu n’est pas seulement un projet ; c'est une expérience d'apprentissage. plongez au cœur de la robotique, explorez les subtilités de la programmation et libérez votre créativité en personnalisant ses mouvements et ses expressions. que vous soyez étudiant, amateur ou créateur, tillu est un tremplin vers le monde passionnant de la robotique. donnons vie à tillu et repoussons les limites de ce que les robots peuvent faire !  présentation de jlcmc, le dernier ajout à la famille jlc de confiance, fournissant des pièces mécaniques de haute qualité aux meilleurs prix du marché. fort d'un héritage d'excellence établi par jlcpcb, jlcmc est là pour fournir des solutions fiables et abordables pour tous vos besoins mécaniques. pourquoi choisir jlcmc ? un nom de confiance : jlcmc repose sur les services jlc, un leader mondial dans la fabrication et le prototypage de pcb. leur engagement envers la qualité et la satisfaction du client se poursuit dans leurs services de pièces mécaniques. prix ​​imbattables : fidèle à l'héritage de jlc, jlcmc propose des pièces mécaniques à des prix leaders du secteur, garantissant ainsi que vos projets respectent le budget sans compromettre la qualité. large gamme de produits : des composants de précision aux solutions personnalisées, jlcmc a tout ce dont vous avez besoin pour donner vie à vos idées, que vous soyez un amateur ou un professionnel. confiance mondiale : les services jlc ont gagné la confiance de millions de créateurs dans le monde entier. avec jlcmc, vous bénéficiez de la même fiabilité, désormais dans le domaine des pièces mécaniques. découvrez ces offres et solutions personnalisées de jlcmc : boîtier en aluminium cadre profilé en aluminium ensemble de vis et d'écrous module linéaire série jkk60 visitez jlcmc.com pour explorer leurs offres, réclamez vos coupons de 19 $ pour l'enregistrement d'un nouvel utilisateur et profitez des incroyables remises de fin d'année. . rejoignez la communauté grandissante de fabricants et de professionnels qui font confiance à jlcmc pour leurs besoins mécaniques.",meettillu the robot fusion unique robotique avancer créativité concevoir inspirer apprentissage innovation   propulsé unihiker exécuter système exploitation debian tillu exploit capacité système contrôle robuste offrir mouvement réaliste interaction dynamique cœur conception trouver jambe servomoteur 15 kilogramme permettre marcher danser effectuer mouvement complexe précision personnalité expressif tillu prendre vie variété expression facial afficher écran intégré riche suite capteur   microphone reconnaissance vocal gyroscope 6 axe équilibre orientation buzzer interaction sonore présentoir ajouter dimension charme supplémentaire robot question fonctionnalité plateforme possibilité créatif programmer mouvement utiliser python explorer programmation visuel mind+ tillu compagnon idéal apprenant passionné inspirer bien-aimé robot otto diy parcours conception tillu impliquer travail approfondi fusion 360 modélisation cao impression 3d préciser donner vie détail pied robuster servocommander conception modulaire concevoir durabilité esthétique exemple code développé tillu déplacer direction arrière virage gauche virage droite exprimer émotion expression facial effectuer 10 danse unique vie fête   répondre commande vocal grâce système avancé reconnaissance vocal construire tillu projet expérience apprentissage plongez cœur robotique explorer subtilité programmation libérer créativité personnaliser mouvement expression être étudiant amateur créateur tillu tremplin monde passionner robotique donnon vie tillu repousson limite robot faire     présentation jlcmc dernier ajout famille jlc confiance fournir pièce mécanique haute qualité meilleur prix marché fort héritage excellence établir jlcpcb jlcmc fournir solution fiable abordable besoin mécanique choisir jlcmc   nom confiance   jlcmc repose service jlc leader mondial fabrication prototypage pcb engagement qualité satisfaction client poursuivre service pièce mécanique prix ​​imbattables   fidèle héritage jlc jlcmc proposer pièce mécanique prix leader secteur garantir projet respecter budget compromettre qualité large gamm produit   composant précision solution personnaliser jlcmc avoir besoin donner vie idée être amateur professionnel confiance mondial   service jlc gagner confiance million créateur monde entier jlcmc bénéficiez fiabilité domaine pièce mécanique découvrir offre solution personnaliser jlcmc     boîtier aluminium cadre profiler aluminium ensembl vis écrou module linéaire série jkk60 visitez jlcmc.com explorer offre réclamer coupon 19   dollar enregistrement nouveau utilisateur profiter incroyable remis fin année rejoindre communauté grandissant fabricant professionnel confiance jlcmc besoin mécanique
https://www.instructables.com/Air-Hockey-Robot,robot de hockey sur air avec prédiction de tir,"avis de non-responsabilité – la liste des fournitures peut inclure des liens affiliés/payants. table de hockey sur air de 27 pouces (h70 x l16,8 x p37 cm) raspberry pi 3b + caméra amazon pi v2amazon arduino unopilotes pas à pas amazon tmc2208amazon 2 × steppers nema 17amazon courroie de distribution gt2 2,5 m 6 mmkit poulies et rouleaux amazon gt2amazon 4 tiges linéaires 8 mm x 300 mmamazon roulements à mouvement linéaire 4 × 8 mmamazon 12v alimentation 10 aprise adaptateur amazon 12 v dcfil à noyau solide amazon 22 awgécrous et boulons amazon m3planche à pain amazontable de hockey sur air amazonamazon plaamazon tournevis multimètre pour imprimante 3d","vous avez toujours voulu jouer au air hockey contre un ordinateur dans la vraie vie ? eh bien, j'ai la solution pour vous : un robot jouant au hockey sur air diy ! c'est un peu amusant car le robot ne représente pas trop de défi contre un joueur humain, mais il s'avère que lorsqu'il est correctement configuré, il peut en fait être assez difficile de marquer contre.",avoir vouloir jouer air hockey contre ordinateur vraie vie bien solution   robot jouer hockey air diy   amusant robot représenter trop défi contre joueur humain avérer lorsque correctement configurer difficile marquer contre
https://www.instructables.com/Two-Wheeled-Drive-Car-With-a-Robotic-Arm,voiture à deux roues motrices avec bras robotique,"pour commencer à construire une voiture à deux roues motrices avec un bras robotique, la première étape consiste à acquérir le matériel nécessaire. breadboard – une carte pour réaliser des circuits temporaires sans soudure. module bluetooth (hc-05 ou hc-06) – pour la communication sans fil via bluetooth. pilote de moteur l293d – utilisé pour contrôler la direction et la vitesse des moteurs. pilote de servo pca9685 – un pilote pwm 16 canaux 12 bits pour contrôler plusieurs servos ou led. servomoteurs sg90 (x5) – mini servomoteurs couramment utilisés en robotique. arduino uno – une carte microcontrôleur populaire basée sur l'atmega328p. interrupteur marche/arrêt – un interrupteur de base pour contrôler l'alimentation d'un circuit. dc barrel jack– pour l’entrée d’alimentation, utilisé avec les cartes arduino. batteries li-ion 18650 (x2) – batteries lithium-ion rechargeables, chacune d'une capacité de 2 200 mah et 3,7 v. kit de voiture robot à 2 roues – il comprend des composants pour construire un robot de base à deux roues avec des roues motorisées et une roulette d'équilibrage. bras de robot imprimé en 3d– il se compose de pièces imprimées en 3d. nous fournirons les fichiers stl pour les modèles 3d dans la section modélisation 3d","ce projet a été développé au sein de l'orange digital center maroc, un espace dédié à favoriser l'innovation, la créativité et le prototypage rapide. au fablab, les individus et les équipes ont accès à des outils de pointe, notamment des imprimantes 3d, des découpeuses laser et une variété de ressources électroniques et mécaniques. le centre offre un environnement collaboratif où les innovateurs, les entrepreneurs et les étudiants peuvent transformer leurs idées en produits tangibles. en nous concentrant sur des solutions durables et impactantes . c'est un excellent projet pour débutant que tout le monde peut réaliser ! il s'agit d'un bras robotique monté sur un véhicule à deux roues motrices conçu pour effectuer diverses tâches de manipulation dans des environnements dynamiques. la base consiste en une petite voiture robot, souvent dotée de roues robustes pour des terrains variés. les deux roues principales sont motorisées pour le mouvement et la direction. le bras, monté au centre de la structure supérieure de la voiture pour assurer l'équilibre, comporte plusieurs articulations motorisées pour des mouvements tels que la rotation, la flexion et l'extension, tous contrôlés par des servos. préparé par ilyasse ait moulay blla.",projet être développer sein orange digital center maroc espace dédier favoriser innovation créativité prototypag rapide fablab individu équipe accès outil pointe imprimante 3d découpeur laser variété ressource électronique mécanique centre offrir environnement collaboratif innovateur entrepreneur étudiant transformer idée produit tangible concentrer solution durable impactante   excellent projet débuter monde réaliser   agir bras robotique   monter véhicule roue motrice concevoir effectuer tâche manipulation environnement dynamique base consister petit voiture robot doter roue robuste terrain varier roue principal motoriser mouvement direction bras monter centre structure supérieur voiture assurer équilibre comporte articulation motoriser mouvement rotation flexion extension contrôler servo préparer ilyasse moulay blla
https://www.instructables.com/Ghost-Candy-Dispenser,distributeur de bonbons fantômes,"pièces mcu : m5stamps3 (m5stack)(×1) servomoteur rc : mg90s(×1) module de capteur à ultrasons hc-sr04 (×1) haut-parleur 1,5"" 4 ω 3 w et module amplificateur pam8403 (×1) mini lecteur mp3 dfplayer (×1) ×1) carte micro sd (×1) convertisseur dc-dc : adafruit miniboost 5 v @ 1a - tps61023 (× 1) prise usb-c (× 1) batterie lipo 3,7 v (en option) interrupteur d'alimentation : coulissant, spdt (× 1) led rouges : led smd pré-câblées, rouges (× 2) led rvb : ws2812b. module (×10) pièces semi-conductrices discrètes : résistances 1 kω (×1), 4,7 kω (×3), 10 kω (×1) ; diode 1n4148 (×1) ; transistor npn 2sc1815 (×1) embases et prises pcb universelles (×1) (selon le câblage) vis : m3 × 8 mm avec écrous (×2), m2 × 6 mm avec écrous (×2), m2 × 8 mm avec écrous (×2), m2 × 10 mm avec écrous (×2) bonbons : hi-chew tools imprimante 3d : flashforge adventurer 4 (filament : pla noir et blanc) tournevis outils de soudure outils de peinture acrylique ruban de masquage (facultatif) ruban adhésif double face pistolet à colle chaude logiciel visual studio code avec platformio ide (arduino) autodesk fusion service freesound","salut! avez-vous apprécié halloween en 2024 ? comme je ne suis généralement pas à la maison pendant les périodes de fête, je laisse depuis trois ans des distributeurs de bonbons faits à la main devant la porte d'entrée. malheureusement, le distributeur de cette année n'a pas bien fonctionné ce jour-là car la batterie était épuisée à mi-chemin et les bonbons restaient souvent coincés. je l'ai donc modifié pour permettre la commutation entre l'alimentation usb et l'alimentation par batterie, et j'ai amélioré le mécanisme pour réduire le problème de brouillage. dans ce projet, je partagerai comment créer la version améliorée de cette année. j'espère que ce projet vous sera utile pour le prochain halloween, ou à tout le moins, que vous prendrez plaisir à le lire !",salut avoir vous apprécier halloween 2024 généralement maison période fête laisse an distributeur bonbon faire main porte entrée malheureusement distributeur année bien fonctionner jour -là batterie épuiser mi-chemin bonbon rester coincer modifier permettre commutation alimentation usb alimentation batterie améliorer mécanisme réduire problème brouillage projet partager créer version améliorer année espérer projet utile prochain halloween prendre plaisir lire
https://www.instructables.com/LilyBot-With-MicroBit,lily∞bot avec micro:bit et motor:bit évite les obstacles,la liste des pièces du lily∞bot with micro:bit est disponible sur github et sur amazon aux liens suivants : https://www.amazon.com/hz/wishlist/ls/16q4ohy4e8af3?ref_=wl_share https:// bit.ly/3xuwe7z les composants principaux sont les pièces imprimées en 3d disponibles sur github micro:bit motor:bit sonar motors wheels,"ce projet expliquera comment éviter les obstacles sur le robot modulaire open source imprimé en 3d, lily∞bot, à l'aide du micro:bit, du motorbit, du sonar et de 2 moteurs à courant continu. il décrira la construction du robot, le câblage du matériel et de l'électronique et la programmation du robot. puisqu'il s'agit d'une programmation graphique, le projet convient aux enfants d'âge élémentaire, de la 1re à la 4e année. ce même robot peut évoluer avec l'utilisateur en changeant le contrôleur et le langage de programmation en circuit playground express, arduino uno, raspberry pi pico w, et bien d'autres à venir ! apprenez-en plus sur lily∞bot sur noiresteminist.com/robots et sur youtube à https://youtube.com/carlottaberry",projet expliquer éviter obstacle robot modulaire open source imprimer 3d lily∞bot aide micro bit motorbit sonar 2 moteur courant continu décrire construction robot câblage matériel électronique programmation robot puisque agir programmation graphique projet convier enfant âge élémentaire 1r quatrième année robot évoluer utilisateur changer contrôleur langage programmation circuit playground express arduino uno raspberry pi pico w bien venir apprendre -en lily∞bot noiresteminist.com/robot youtube https://youtube.com/carlottaberry
